apn,address,station,band,current_zone,current_max_height_ft,current_max_height_raw,sb79_floor_ft,lot_sf,year_built,historic_status,lat,lon
124-31-035,"343 Stanford Av, Palo Alto #A",calave,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,7500,1937,none,37.429305,-122.147504
124-31-035,"343 Stanford Av, Palo Alto",calave,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,7500,1937,none,37.429305,-122.147504
124-31-036,"333 Stanford Av, Palo Alto",calave,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,7500,1923,none,37.429419,-122.147409
124-31-037,"323 Stanford Av, Palo Alto",calave,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,7500,1993,none,37.429534,-122.147315
124-31-038,"315 Stanford Av, Palo Alto",calave,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,7499,2001,none,37.429649,-122.14722
124-31-039,"301 Oxford Av, Palo Alto",calave,1/4mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",75,5000,2020,Deemed NOT eligible for the CRHR or the NRHP in 1998,37.429258,-122.146162
124-31-040,"2130 Birch St, Palo Alto",calave,1/4mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",75,5000,1941,none,37.429088,-122.145993
124-31-041,"2150 Birch St, Palo Alto",calave,1/4mi,R-2,,Cannot assess for this zone.,75,3750,1938,none,37.429051,-122.145766
124-31-042,"302 College Av, Palo Alto",calave,1/4mi,R-2,,Cannot assess for this zone.,75,3750,1938,none,37.428937,-122.14555
124-31-043,"314 College Av, Palo Alto",calave,1/4mi,RM-30,,Cannot assess for this zone.,75,7500,1961,none,37.428879,-122.145753
124-31-044,"322 College Av, Palo Alto",calave,1/4mi,RM-30,,Cannot assess for this zone.,75,7500,1961,none,37.428764,-122.145847
124-31-045,"334 College Av, Palo Alto",calave,1/4mi,RM-30,,Cannot assess for this zone.,75,7500,1962,none,37.42865,-122.145942
124-31-046,"346 College Av, Palo Alto",calave,1/4mi,RM-30,,Cannot assess for this zone.,75,7500,1963,none,37.428535,-122.146036
124-31-047,"354 College Av, Palo Alto",calave,1/4mi,RM-30,,Cannot assess for this zone.,75,7500,1987,none,37.42842,-122.146131
124-31-047,"350 College Av, Palo Alto",calave,1/4mi,RM-30,,Cannot assess for this zone.,75,7500,1987,none,37.42842,-122.146131
124-31-049,"390 College Av, Palo Alto",calave,1/4mi,R-2,,Cannot assess for this zone.,75,7500,1921,none,37.427961,-122.14651
124-31-050,"2162 Ash St, Palo Alto",calave,1/2mi,RM-30,,Cannot assess for this zone.,65,7500,1958,none,37.427709,-122.146718
124-31-050,"2160 Ash St, Palo Alto",calave,1/2mi,RM-30,,Cannot assess for this zone.,65,7500,1958,none,37.427709,-122.146718
124-31-050,"2164 Ash St, Palo Alto",calave,1/2mi,RM-30,,Cannot assess for this zone.,65,7500,1958,none,37.427709,-122.146718
